1206568, 963189, 379345, 726525, 27954, 46941, 57756, 27048
1027248, 1110919, 429347, 712596, 28137, 47111, 56673, 32142
1204507, 961493, 421593, 717608, 32691, 49809, 54038, 28065
1028512, 1112901, 380741, 728174, 27752, 50839, 52567, 27217
1206550, 962442, 406281, 726579, 27348, 42756, 62693, 31299
1033272, 1112314, 423951, 714266, 23517, 39146, 64005, 36188
1207197, 963977, 418917, 717358, 36006, 55548, 47960, 24771
1032090, 1112542, 409744, 726226, 32802, 56162, 47467, 25917
1208236, 962963, 398124, 720460, 32451, 52516, 51477, 24877
1032255, 1113579, 422396, 722536, 31028, 52304, 51459, 29586
1204027, 961517, 422282, 719249, 31240, 47457, 56546, 29834
1031447, 1111559, 400009, 718129, 28022, 48863, 54156, 29257
1205713, 959800, 406419, 707098, 39318, 62266, 39523, 19510
1032972, 1116775, 416133, 734433, 35594, 60292, 44292, 24849
1206492, 966025, 407153, 743289, 24841, 39226, 67893, 34368
1030081, 1115131, 407240, 699793, 18794, 34248, 70072, 37856
1205610, 965346, 397283, 706665, 40746, 66115, 35059, 16792
1032019, 1118447, 401729, 729444, 36264, 62713, 40508, 22637
1205299, 965214, 404863, 721777, 21464, 34247, 71039, 36135
1032238, 1117633, 394680, 707019, 20690, 38107, 65660, 34683
1208229, 963102, 406297, 727711, 33334, 52703, 51660, 25792
1030656, 1108751, 415338, 722351, 31345, 53711, 50605, 27967
1208652, 963890, 427844, 710733, 33490, 51705, 53125, 27159
1027715, 1112590, 410586, 723040, 27220, 47211, 57136, 31360
1204458, 960183, 402082, 726063, 35705, 57822, 46139, 22651
1028248, 1110555, 430989, 718778, 30512, 50837, 53140, 30572
1203512, 958697, 428341, 724350, 29139, 44488, 61159, 31907
1029530, 1109641, 403323, 729509, 25722, 45538, 59226, 31637
1205147, 964991, 401435, 732432, 25454, 42089, 64895, 31687
1030696, 1114552, 414166, 705316, 22326, 39163, 64675, 35588
1202818, 962033, 420537, 700667, 41403, 64792, 36645, 18795
1027320, 1111249, 404438, 727754, 38481, 65045, 37015, 20417
1205567, 960092, 389513, 728151, 25162, 41265, 63739, 31078
1028296, 1112991, 423741, 707283, 25676, 43395, 59852, 33860
1205681, 959166, 433967, 695866, 43062, 64897, 36669, 19026
1027078, 1112871, 389324, 729560, 34515, 61745, 41481, 22464
1204849, 960529, 418200, 730435, 29932, 46203, 59495, 30495
1029572, 1111220, 425920, 703654, 26574, 44455, 58217, 33297
1203647, 962045, 420792, 706185, 35536, 55214, 47794, 24541
1026289, 1112706, 407382, 737180, 35724, 61502, 42137, 23941
1205046, 958876, 409031, 720845, 25549, 39608, 64799, 32873
1026945, 1113118, 401891, 703389, 19003, 34132, 68856, 37400
1205233, 960495, 397069, 704668, 38706, 61967, 38674, 18833
1029131, 1116573, 402533, 725500, 34257, 59981, 43345, 24026
1206610, 963439, 406996, 743034, 21836, 33975, 73621, 36905
1032029, 1116307, 406470, 709331, 20275, 36749, 68324, 36314
1209297, 963592, 412946, 703986, 40433, 63873, 38643, 19029
1031988, 1116311, 414123, 739933, 37180, 62768, 41540, 23316
1207613, 965132, 426396, 722270, 29255, 44309, 61865, 32326
1031316, 1116878, 401335, 731979, 23885, 43295, 62384, 33448
1207412, 963653, 401268, 732334, 35129, 56911, 47951, 23439
1032063, 1113213, 428364, 715979, 29800, 49690, 54577, 30303
1205244, 964571, 429040, 699980, 39556, 61045, 41980, 21867
1031568, 1113364, 407287, 741488, 35462, 61196, 43532, 23894
1204541, 963478, 412093, 731110, 30174, 47197, 58349, 29668
1032577, 1112617, 428962, 698539, 22803, 38160, 65696, 36778
1203899, 965978, 418377, 718793, 30411, 47858, 57794, 29613
1032439, 1117160, 407345, 727825, 27550, 48251, 57326, 31055
1203155, 964772, 406007, 733320, 32086, 50446, 54168, 27519
1029012, 1113067, 425246, 709639, 30359, 51152, 52958, 29590
1203929, 962053, 415873, 715586, 34602, 52824, 49462, 25723
1031327, 1115095, 410002, 722889, 31729, 54167, 49751, 27133
1208647, 968297, 410112, 726650, 26696, 41687, 63819, 32662
1032473, 1115508, 414361, 719645, 26975, 45475, 57809, 32535
1206924, 965288, 419452, 724987, 29246, 45361, 60478, 31012
1032507, 1118885, 393975, 722055, 31084, 55319, 47971, 25686
1208015, 964922, 398085, 722462, 31737, 51469, 53400, 25641
1030687, 1117982, 413644, 726642, 32480, 56142, 48348, 27212
1205672, 967481, 412225, 706405, 41124, 65743, 36541, 18679
1032482, 1116244, 395425, 736747, 36269, 64903, 39932, 21341
1208613, 965485, 394470, 738463, 20527, 33851, 73584, 36039
1032334, 1117550, 412658, 708306, 18581, 33310, 71731, 38749
1205557, 967144, 421789, 720330, 30751, 47500, 58299, 30296
1031038, 1114540, 378894, 727629, 29029, 54223, 49348, 25842
1204608, 966913, 376170, 728153, 26586, 44729, 60121, 27984
1035270, 1116528, 425432, 712819, 29861, 49820, 53771, 30769
1208867, 965751, 415391, 715600, 34490, 54529, 49765, 25595
1034140, 1114255, 385549, 738266, 35344, 63819, 40153, 21410
1209562, 964324, 380337, 737230, 22496, 37025, 68719, 32573
1034854, 1117718, 420678, 710651, 24252, 41650, 62568, 34910
1029538, 1146148, 377518, 733258, 37152, 67355, 37273, 19281
1218632, 963159, 425189, 720211, 37674, 58334, 45862, 24391
1033170, 1147986, 433186, 708354, 21287, 35975, 70857, 40055
1220361, 965933, 376789, 730848, 21460, 36643, 70189, 32998
1030209, 1146139, 405479, 728695, 31063, 53966, 51950, 28067
1217540, 963950, 417697, 718602, 31713, 49620, 54939, 29275
1036360, 1149288, 420204, 718776, 31228, 52131, 53003, 30055
1224612, 965220, 413088, 728574, 31345, 50378, 55589, 28276
1036816, 1150023, 400699, 726141, 32163, 57195, 49477, 26183
1220294, 962480, 426413, 720786, 34418, 52909, 52029, 27604
1034478, 1146821, 420876, 720688, 28649, 48778, 57116, 32137
1219374, 965102, 400702, 721476, 27915, 46029, 59376, 29672
1033823, 1145860, 401431, 713277, 29523, 52155, 53020, 28687
1218862, 966272, 411707, 739587, 27152, 43099, 64318, 32935
1037057, 1146469, 408142, 740988, 35935, 61817, 45325, 24787
1218358, 967204, 404081, 707060, 32171, 52726, 51645, 25723
1034135, 1142907, 396424, 708900, 26485, 47814, 57555, 30433
1221115, 963270, 407831, 724725, 31508, 50526, 54355, 27834
1031319, 1143935, 402651, 727359, 29899, 52747, 52913, 28302
1218349, 960906, 399796, 703363, 30463, 48931, 53808, 27177
1034622, 1143372, 409913, 723173, 34422, 58368, 46446, 25831
1220786, 965650, 420576, 717821, 36612, 59163, 46383, 23755
1037137, 1146739, 417185, 721162, 28087, 48496, 58186, 32183
1218887, 966512, 403537, 733830, 25260, 40361, 66429, 33475
1038000, 1146416, 400363, 729719, 31439, 56212, 50361, 26945
1221048, 968712, 419000, 729762, 34799, 55617, 50811, 26017
1039673, 1151261, 426442, 724379, 27579, 47089, 59773, 33866
1217648, 968803, 403689, 727413, 25128, 40701, 66295, 32989
1037369, 1147915, 408184, 729870, 33674, 57947, 48096, 26162
1221069, 966455, 415304, 707524, 35564, 55456, 47879, 24634
1039344, 1147227, 413913, 709418, 30180, 51219, 53323, 29929
1225419, 966203, 393242, 748275, 25104, 42589, 65618, 32179
1039855, 1150637, 389482, 735688, 34507, 61569, 44623, 23128
1222199, 965483, 424029, 710822, 38421, 59517, 44541, 23142
1040182, 1153545, 429821, 705296, 22028, 37704, 68959, 39012
1220550, 967865, 378576, 740821, 20155, 34971, 72677, 34761
1039714, 1150292, 405778, 741026, 38063, 65537, 40619, 22447
1221385, 966342, 432480, 694698, 45135, 70918, 32136, 16710
1038340, 1150066, 420691, 706327, 22906, 40056, 66447, 36433
1220399, 969212, 401559, 745069, 23745, 38247, 69916, 35555
1039134, 1148857, 400872, 730132, 31239, 55273, 51239, 27372
1221099, 968139, 397615, 708312, 30408, 49398, 54097, 26869
1038589, 1146907, 396742, 706564, 30397, 52849, 50998, 27027
