1029079, 816811, 595067, 798972, 39233, 49372, 52346, 36887
910059, 925872, 610126, 774003, 41714, 46627, 53672, 35516
1026283, 823694, 606157, 777378, 35195, 43792, 56841, 41167
907654, 925839, 598118, 793502, 36638, 42810, 60013, 39009
1028807, 826599, 599864, 794943, 37897, 48803, 53373, 38662
909203, 925070, 605724, 781047, 35254, 39655, 62091, 40693
1025842, 817514, 605460, 781921, 41921, 51663, 48336, 35141
906922, 923903, 598328, 794420, 37995, 44001, 59130, 37464
1028809, 820125, 603240, 788427, 47902, 60110, 40974, 28776
905532, 924500, 598249, 786857, 48795, 54690, 44014, 29195
1028963, 821021, 598929, 783117, 33492, 41412, 58988, 42694
911298, 922334, 603882, 787556, 29176, 33586, 71018, 45585
1029414, 822156, 615671, 768886, 61223, 76748, 23245, 16696
904941, 922844, 584926, 801086, 60229, 68610, 27777, 18150
1025424, 822428, 581297, 802848, 17684, 22645, 79589, 56980
908929, 926258, 612634, 772178, 21739, 25076, 80457, 52573
1027519, 827352, 610013, 775184, 55887, 70635, 30153, 22203
918992, 926749, 593859, 798053, 55143, 61380, 38206, 24320
1029133, 825510, 591741, 800622, 24462, 30938, 72037, 51865
909904, 922179, 610525, 773326, 20621, 23832, 81418, 52564
1025459, 821074, 594528, 790670, 37686, 47281, 53329, 38273
903676, 921313, 599447, 784298, 39188, 45872, 55803, 36313
1025324, 820284, 604204, 780521, 40258, 50926, 50106, 35737
906483, 921803, 596861, 791202, 39415, 45525, 55909, 36695
1025568, 816941, 600625, 783295, 52272, 65386, 33873, 24762
903928, 923313, 596255, 785567, 50784, 57819, 40633, 26765
1023895, 817202, 594957, 783964, 30317, 37553, 62888, 45273
901964, 923306, 598485, 785383, 28890, 33712, 69499, 44990
1028546, 816949, 586795, 805983, 25168, 32096, 70785, 50112
907505, 921154, 614815, 768830, 26109, 29096, 74540, 48849
1025332, 814805, 616277, 771764, 53109, 64984, 33535, 24418
907182, 922121, 590691, 805298, 51477, 59354, 39923, 25429
1028260, 812624, 595499, 799068, 35862, 44303, 57156, 39430
902860, 922161, 616539, 766821, 30152, 34151, 67380, 45229
1026857, 813700, 616849, 765003, 51660, 63441, 34635, 25257
907303, 923302, 585287, 808168, 49699, 58100, 41841, 27009
1024041, 811046, 583353, 799863, 28327, 35340, 65986, 45860
907712, 919623, 615474, 760495, 23791, 26981, 77066, 49999
1026009, 816552, 613336, 769500, 52213, 65057, 34503, 25035
904352, 919686, 585265, 800610, 51075, 58193, 39658, 25866
1025358, 817479, 592435, 797566, 27436, 34264, 67451, 47714
898750, 922928, 608822, 777172, 27892, 32086, 69729, 46429
1024467, 811847, 613907, 770641, 60150, 73295, 23839, 17309
897312, 919284, 591804, 803351, 56437, 64950, 32516, 21227
1025586, 817174, 585378, 802773, 20300, 25873, 76597, 53896
910760, 924390, 613582, 777048, 24295, 27838, 77735, 50347
1026288, 821514, 613211, 774238, 55525, 69073, 31257, 22679
908392, 920390, 590233, 797702, 53774, 60417, 38248, 24940
1028011, 820352, 596491, 789863, 27988, 35027, 66849, 47736
908410, 923926, 597917, 787811, 30592, 35233, 68636, 44080
1028158, 819375, 593287, 787246, 47193, 60425, 40002, 28503
895298, 926754, 596388, 783661, 48644, 56546, 41415, 27665
1028624, 812560, 612950, 772220, 51860, 63360, 35970, 25486
902061, 924473, 580928, 807616, 53529, 62059, 36562, 23935
1026890, 815000, 583282, 809680, 25211, 32321, 70382, 49029
905292, 923934, 617505, 773622, 27190, 31317, 72345, 47443
1028483, 816930, 600003, 793127, 39395, 49995, 51281, 36281
904766, 924705, 595272, 794973, 39150, 45527, 55370, 36326
1029202, 814865, 594071, 796107, 36649, 45497, 55442, 39460
905270, 926430, 600842, 787935, 40478, 46956, 54767, 35426
1027818, 814462, 607259, 785621, 40175, 48852, 51154, 36966
904719, 923640, 601621, 798224, 38395, 45125, 57185, 36984
1028720, 816705, 603909, 797387, 44227, 56604, 45756, 31978
910013, 924862, 604293, 787159, 41042, 45992, 54722, 35910
1029090, 821592, 602997, 789131, 31126, 39081, 62280, 45503
911492, 926863, 608849, 791229, 24918, 28999, 77020, 49855
1028356, 827402, 607695, 791287, 50937, 64155, 38341, 27012
911333, 925892, 600173, 791382, 54854, 61274, 37507, 24962
1029205, 828097, 620788, 772473, 51534, 64139, 36361, 27194
912908, 928377, 594377, 808392, 48973, 55764, 46004, 29381
1030912, 822127, 593888, 811621, 28538, 36290, 67010, 47618
915100, 925157, 614793, 781361, 32636, 36524, 66936, 43537
1030906, 827225, 611076, 779073, 36838, 45795, 56029, 40940
915579, 926963, 598607, 797293, 33646, 38805, 65349, 42095
1029467, 824795, 597431, 803353, 41178, 52254, 50564, 36088
914767, 921902, 606833, 783628, 49439, 54549, 45064, 29208
1031129, 822556, 619927, 766650, 53298, 65163, 34458, 25525
909602, 924902, 589175, 810490, 50756, 58565, 41715, 27007
1029153, 819899, 588390, 814882, 29893, 38029, 65560, 45451
913417, 923680, 619171, 771871, 32347, 35844, 67204, 43825
923642, 914540, 599068, 799492, 54302, 64381, 36713, 23570
1032263, 831733, 609041, 780501, 53052, 62510, 36506, 26174
921396, 913602, 607320, 778798, 25763, 28532, 73541, 49784
1030454, 821505, 596085, 795154, 25282, 31053, 72294, 48305
